,DataRiferimento,Documento_Numero,Quantita,Origine,Catalogo,Gruppo,Famiglia,Codice_Hidros,Descrizione,ImportoNetto,Prodotto_Costoattuale
10,2018-01-30,000008C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.01,COMPLETO CASS. MONOBLOCCO ITS,4.6,3.565
11,2018-01-30,000009C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,0.61,0.4742
12,2018-01-30,000010C,2.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta,BO5230CR40S7,PIL.DOCCIA ULTRA RIBASS.D.90 USC.40,44.5,34.1908
13,2018-01-30,000011C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Sanitari,FANTASIA2L60,LAVABO CM.60 FANTASIA 2 50050,52.94,41.0895
14,2018-01-30,000012C,2.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,BO9374FM54B0,MAGIC ATT. 11/4 CURVO+MAN. D.32/40,4.3,3.895
15,2018-01-31,000013C,1.0,    ,Riscaldamento,Scaldabagni Elettrici,Scaldabagno Elettrico,CHX10/2,SCALDABAGNO LT 10 G2A SOPRAL.CHAF.,45.23,35.5649
16,2018-01-31,000014C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,IC24,IDROSFERA LT.24 C/MEM. VERN. EXP.,12.12,9.3184
17,2018-01-31,000015C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,IC24,IDROSFERA LT.24 C/MEM. VERN. EXP.,12.12,9.3184
18,2018-01-31,000016C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GR42962,TRAVERSA GROHE,10.93,8.3992
19,2018-01-31,000017C,1.0,    ,Riscaldamento,Scaldabagni Elettrici,Scaldabagno Elettrico,AT30/2,SCALDABAGNO LT 30 G2A EGO,50.87,40.1757
20,2018-01-31,000003F,1.0,    ,Riscaldamento,Scaldabagni Elettrici,Scaldabagno Elettrico,AT30/2,SCALDABAGNO LT 30 G2A EGO,51.27,40.1757
21,2018-02-02,000018C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GEB240934001,FORCELLA,4.99,3.876
22,2018-02-02,000019C,1.0,    ,Riscaldamento,Componenti termici,Accessori Termici,625010,PRESSOSTATO x AUTOCLAVE 3-12 BAR CA,20.93,16.09
23,2018-02-02,000020C,2.0,    ,Rubinetteria ed Accessori,Rubinetteria,Miscelatore Lavabo,K201,MONOC. LAVABO K D.ESTR.CR. 11311,81.4,75.264
24,2018-02-02,000021C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Sanitari,COLIBRIVS,VASO SOSPESO B.CO COLIBRI 2,43.05,33.4068
25,2018-02-02,000021C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Sanitari,COLIBRIBS,BIDET MF SOSPESO COLIBRI 2 POZZI,41.82,32.4508
26,2018-02-02,000022C,1.0,    ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Specchiera,SAV960,SPECCHIERA 2/ANTA LISCIA,38.89,29.9
27,2018-02-02,000023C,2.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GEB240934001,FORCELLA,9.98,7.752
28,2018-02-02,000024C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,560160B,RUBINETTO GALLEGG.JOLLY 3/8 BLIS.,7.38,5.67
29,2018-02-02,000004F,10.0,    ,Sanitari e Arredo Bagno,Accessori Bagno,Angoliera Doccia,OASIANG,ANGOLARE DOCCIA OASI B/CO,67.1,51.638
30,2018-02-06,000025C,3.0,    ,Riscaldamento,Canne Fumarie,Accessori Pellet,ALATS1110,TUBO SMALTATO MT.1 110 B.CO,24.84,19.0944
31,2018-02-06,000025C,2.0,    ,Ferramenta e Hobbistica,Materiale Elettrico,Lampadine e Batterie,021904,BATTERIA AA TIT.STILO 1 5V BLISTER,3.3,2.52
32,2018-02-06,000026C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,S1014,SIFONE 2 VIE S/PILETTA ATT.LAV.D.40,2.52,1.942
33,2018-02-06,000027C,4.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80130981,VITI FISSAGGIO PLACCA,8.4,6.452
34,2018-02-06,000028C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Valvola Automatica,LIA151001,VALV.AUTOMAT. ANTIGORGOGLIO 32/40,19.95,15.336
35,2018-02-06,000029C,1.0,    ,Rubinetteria ed Accessori,Rubinetteria,Rubinetto incasso,390AST,ARRESTO INCASSO ASTOR/DANUBIO,11.55,9.1365
36,2018-02-06,000030C,1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Valvola Automatica,LIA151001,VALV.AUTOMAT. ANTIGORGOGLIO 32/40,19.95,15.336
37,2018-02-06,000005F,7.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,IPAERAV,AERATORE VASCA X RUBINETTO IPR,3.01,2.3359
38,2018-02-08,000031C,2.0,    ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Doccetta Lavabo,TCDP,TELEFONINO C/CURVA PESANTE X DUPLEX,6.4,5.8006
39,2018-02-08,000032C,2.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto Sottolavabo,6908CF3/4,PROLUNGA DIETROGRUPPO 3/4 C/FORO,3.53,3.2
40,2018-02-08,000032C,1.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto Sottolavabo,6909SF3/4,PROLUNGA DIETROGRUPPO 3/4 S/FORO,1.6,1.45
41,2018-02-08,000033C,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,ITO100C,P.DOCCIA ITO 100*100 SEMIC. H6,90.54,69.6
42,2018-02-08,000034C,1.0,    ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Soffione Doccia,ZSOF075CR,SOFFIONE 20X20 SYNCRO ZSOF075CR,44.38,34.1136
43,2018-02-08,000035C,2.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,IC24,IDROSFERA LT.24 C/MEM. VERN. EXP.,24.24,18.6368
44,2018-02-09,000036C,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Contenitore per Alimenti,5526000010004,RUBIN.SFERA C/LEVA INOX 1/2,23.08,21.34
45,2018-02-09,000037C,2.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009038,GUARNIZ.SEDE SFERA x CASS.INC.PUCCI,2.02,1.5468
46,2018-02-09,000038C,1.0,OAMZ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Soffione Doccia,ZSOF074CR,SOFFIONE TONDO MASTER 225MM PAFFONI,44.38,34.1136
47,2018-02-09,000000A,-1.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,0.61,-0.4742
48,2018-02-10,000007F,3.0,    ,Sanitari e Arredo Bagno,Sanitari,Sanitari,COLIBRIL65,LAVABO B.CO CM. 65 COLIBRI 2,96.02,87.9333
49,2018-02-10,000040C,1.0,    ,Riscaldamento,Caldaie,Scaldabagno,800004,SCALD.GAS IONO LT.11 T.NAT.MET,115.99,110.4
50,2018-02-10,000041C,1.0,    ,Riscaldamento,Cucina Legna-Termocamini,Termocamino,QCD,QUADRETTO ELETTR.X CONTR.TERMOCAM.,31.23,28.325
51,2018-02-13,   2567,2.0,    ,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,NEOPCACHE18,AERATORE CACHE''PERLAT.MOD.TT 16 5X1,3.0,0.0
52,2018-02-13,000007F,10.0,    ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,RIZG,GUARNIZIONE SEDE BATTERIA,11.3,10.25
53,2018-02-13,000007F,15.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,LCSP,LEVA CASSETTA SCARICO PLASTICA,14.1,12.852
54,2018-02-13,000042C,2.0,OAMZ,Elettropompe e Serbatoi,Elettropompe ed Accessori,Regolatore di Pressione,EASYT,PRESS CONTROL  SUPER SIMPLEX,59.32,45.6
55,2018-02-13,000043C,1.0,OAMZ,Riscaldamento,Componenti termici,Flessibile per Gas,FG3000NEW,FLEX GAS FF Mt.3.00 GIALLO,12.77,9.8124
56,2018-02-13,000044C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta Lavello,LI1745040,PILETTA BASKET x LAVELLO LIRA C/TP,19.22,14.77
57,2018-02-13,000044C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta Lavello,LI1945040,PILETTA BASKET x LAVELLO LIRA STP,14.29,10.98
58,2018-02-13,000045C,1.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,NEOCHIAVE,CHIAVE X AER.CACHE''PERLAT.TT 16 5X1,0.18,0.165
59,2018-02-13,000045C,2.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,AERAF16,AERATORE CROMATO FEMM.16X1 C/FIL.,0.56,0.507
60,2018-02-13,000045C,2.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Aeratore,NEOPCACHE18,AERATORE CACHE''PERLAT.MOD.TT 16 5X1,3.3,3.0
61,2018-02-13,000046C,2.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,82004060,DISTANZIALE TELAIO SARA/ECO,1.26,1.14
62,2018-02-13,000046C,2.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009038,GUARNIZ.SEDE SFERA x CASS.INC.PUCCI,1.7,1.5468
63,2018-02-13,000046C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006595,CONF.SARA SEDE ESTR.2 OR 147,5.02,4.55
64,2018-02-13,000046C,2.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009074,TUBO TROPPO PIENO 47CM X TUTTI MOD.,2.62,2.373
65,2018-02-13,000046C,2.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006555,PISTON. VALVOLA C/GUARNIZ.,1.54,1.4004
66,2018-02-13,000046C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80005570,BATTERIA COMPLETA x CASS. ECO,18.23,16.54
67,2018-02-13,000046C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006550,VALVOLA COMPL.x CASS.INC.SARA PUCCI,12.52,11.36
68,2018-02-13,000047C,2.0,OAMZ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,IDROZ,IDROTUBA LT.20-24 ZILMET ULTRA-PRO,33.7,25.898
69,2018-02-13,000048C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009038,GUARNIZ.SEDE SFERA x CASS.INC.PUCCI,1.01,0.7734
70,2018-02-13,000049C,1.0,OAMZ,Riscaldamento,Sicurezza Gas,Filtro e Raccordi Gas,847004,FILTRO COMPACT x GAS 1/2  CALEFFI,9.46,7.28
71,2018-02-14,000050C,1.0,OAMZ,Rubinetteria ed Accessori,Rubinetteria,Gruppo vasca,300AST,GRUPPO VASCA C/DUPLEX ASTOR/DANUBIO,51.59,40.8098
72,2018-02-14,000051C,3.0,OAMZ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Idroscopino,BOE570108,IDROSCOP.IN ABS PALOMA 80 CM C/ARR.,132.63,101.97
73,2018-02-15,000052C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,ITO80C,PIATTO DOCCIA 80*80 SEMIC.H6,78.06,50.0
74,2018-02-15,000053C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,560160B,RUBINETTO GALLEGG.JOLLY 3/8 BLIS.,7.38,5.67
75,2018-02-15,000054C,4.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GEB894082001,GUARNIZIONE X BACINELLA 110.700,4.36,2.84
76,2018-02-16,000055C,1.0,OAMZ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY692145,P.SALVIETTE CM.45 COLORADO,19.9,15.3
77,2018-02-16,000056C,14.0,OAMZ,Sanitari e Arredo Bagno,Radiatori,Radiatori Alluminio,DESIDERYO50,RDT ALL.DESIDERYO B3 500/100 9010,106.68,86.0426
78,2018-02-19,000057C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80130911,SPORTELLO X ECO NEW,17.66,13.58
79,2018-02-19,000057C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80130981,VITI FISSAGGIO PLACCA,2.1,1.61
80,2018-02-19,000058C,1.0,OAMZ,Condizionamento,Climatizzazione,Accessori Climatizzatori,R1700.02,ROVAC 42 POMPA BI-STADIO LT 42,121.97,75.0
81,2018-02-19,000059C,1.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Presa Acqua,PAOV,PRESA D''ACQUA LUSSO OTTONE,3.61,3.2775
82,2018-02-19,000060C,1.0,OAMZ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,ZIL8,VASO ESP. LT.8 10BAR 99 C.HYDRO-PRO,19.89,15.288
83,2018-02-19,000061C,4.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006555,PISTON. VALVOLA C/GUARNIZ.,3.64,2.8008
84,2018-02-19,000062C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Sanitari,EGGVS,VASO SOSP.C/SEDILE B.CO EGG,200.86,158.9086
85,2018-02-19,000063C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Sanitari,TRISV,VASO TRIS BIANCO GRA,23.92,19.305
86,2018-02-20,000064C,1.0,OAMZ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,FAR394312,FILTRO AUTOPULENTE 1/2 FAR,33.21,25.5321
87,2018-02-20,000065C,2.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,1792080,TAMPONE SFERICO STIR BLITZ,7.86,6.156
88,2018-02-22,000066C,1.0,OYTB,Elettropompe e Serbatoi,Serbatoi e Bollitori,Contenitore per Alimenti,5526000010004,RUBIN.SFERA C/LEVA INOX 1/2,23.08,21.3408
89,2018-02-22,000067C,1.0,OYTB,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Lavatoio,ML60B,MOBILE LAVATOIO Cm.60 BIANCO,44.32,40.2
90,2018-02-22,000067C,1.0,OYTB,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Lavatoio,LOIRAB60,LAVATOIO SOLE C/SP. 60*60 B/CO,78.98,71.6365
91,2018-02-22,000068C,1.0,OYTB,Riscaldamento,Caldaie,Tubo Termoconvettore,6YTUBOAL01,TUBO STANDARD MT.1 x WINDOR NF,4.63,4.2035
92,2018-02-22,000069C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,1792080,TAMPONE SFERICO STIR BLITZ,3.93,3.08
93,2018-02-22,000070C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006544,CONF.RUBINETTO OT G 1/2 C/SUPP.,9.37,8.5
94,2018-02-22,000070C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,82004060,DISTANZIALE TELAIO SARA/ECO,0.63,0.57
95,2018-02-22,000070C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006550,VALVOLA COMPL.x CASS.INC.SARA PUCCI,12.52,11.36
96,2018-02-22,000070C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80006555,PISTON. VALVOLA C/GUARNIZ.,0.77,0.7
97,2018-02-23,000071C,1.0,OAMZ,Sanitari e Arredo Bagno,Radiatori,Scaldasalviette,METALKA119*50,RADIATORE H.1120*500 INT.45 CROMO,50.93,39.15
98,2018-02-23,000071C,1.0,OAMZ,Sanitari e Arredo Bagno,Radiatori,Scaldasalviette,METALKA142*50,RADIATORE H.1430*500 INT.45 CROMO,105.74,81.2747
99,2018-02-26,000073C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,0.61,0.4742
100,2018-02-26,000074C,2.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,1.22,0.9484
101,2018-02-26,000074C,2.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,6.28,MEMBRANA CHIUSURA X CURVA TODINI,1.38,1.067
102,2018-02-26,000075C,1.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,BP,BARATTOLO CRIST.POLIFOSFATO KG.1 5,13.43,12.182
103,2018-02-26,000075C,1.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,CARTP,CARTUCCIA LAVAB. RL MIGNON SX 50mcs,3.04,2.76
104,2018-02-26,000075C,1.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,RACCHETTAM,CHIAVE x CONTENITORI MIGNON 3P,2.19,1.98
105,2018-02-26,000075C,2.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,LB7120110,BICCHIERE PER FILTRO ATLAS MIGNON,4.16,3.772
106,2018-02-26,000075C,1.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,OF3P,O-0ING TENUTA ETP x FILTRI 3P ATL,0.41,0.37
107,2018-02-26,000075C,4.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,OFM2P,O-RING TENUTA ETP x FILTRI MIGNON,0.76,0.6924
108,2018-02-26,000008F,1.0,    ,Rubinetteria ed Accessori,Rubinetteria,Doccia Incasso,SK015CR,INCASSO DOCCIA C/DEV.STICK,62.73,49.152
109,2018-02-26,000076C,1.0,OAMZ,Ferramenta e Hobbistica,Utensileria,Chiave da Utensileria,ROT110900,CHIAVI PER PILETTE ROTHENBERGER,23.43,18.0
110,2018-02-26,000077C,1.0,OYTB,Riscaldamento,Componenti termici,Flessibile per Gas,FG3500,FLEX GAS FF Mt.1 75-3 5 GIALLO,12.09,10.965
111,2018-02-26,000078C,2.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80005529,TELAIO x PLACCA ECO/SARA C/VITI PUC,13.04,10.04
112,2018-02-26,000079C,2.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Coprivaso,CWTESIT,COPRIVASO TESI B.CO TERMOINDURENTE,44.1,33.9
113,2018-02-26,000080C,1.0,OAMZ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY662130,P.SALVIETTE MINNESOTA 30CM CR.GE,19.58,15.06
114,2018-02-28,000081C,1.0,OAMZ,Rubinetteria ed Accessori,Rubinetteria,Miscelatore Lavabo,EL101CR,KIT MISC.INCASSO 2 FORI C/P ELLE,150.06,102.2376
115,2018-02-28,000082C,1.0,OYTB,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80005529,TELAIO x PLACCA ECO/SARA C/VITI PUC,5.53,5.02
116,2018-02-28,000083C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,LI9128501,SIFONE SPAZIO 2 NT BIANCO BOX LIRA,14.55,9.316
117,2018-02-28,000084C,2.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CASSBLITZ,CASSETTA SCARICO STIR BLITZ LT.12,55.14,42.389
118,2018-02-28,000085C,3.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,1792080,TAMPONE SFERICO STIR BLITZ,11.79,9.2298
119,2018-02-28,000086C,3.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80009115,PISTONCINO + GUARNIZIONE A LABBRO,2.76,2.1198
120,2018-02-28,000087C,1.0,OYTB,Ferramenta e Hobbistica,Utensileria,Utensili per Misurare,BET16940350,ROTELLA METRICA C/IMP. 1694B/L50 MT,27.55,24.99
121,2018-02-28,000088C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Valvola Automatica,LIA151001,VALV.AUTOMAT. ANTIGORGOGLIO 32/40,19.95,15.34
122,2018-02-28,000089C,3.0,OAMZ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Colonna Doccia,021896,COLONNA DOCCIA FITNES SHOWER 4 JETS,346.41,266.25
123,2018-02-28,000009F,1.0,    ,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Idroscopino,BOC69017B,IDROSCOPINO PALOMA CR/LUC. 125CM,39.54,35.87
124,2018-03-01,000090C,1.0,OAMZ,Elettropompe e Serbatoi,Contatori Acqua,Contatori e Accessori,DBRF3/4,CONTAT. ACQUA LET.DIR. DBRF 20-3/4,18.76,14.4207
125,2018-03-01,000091C,1.0,OAMZ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,ZIL8,VASO ESP. LT.8 10BAR 99 C.HYDRO-PRO,19.89,15.288
126,2018-03-01,000000A,-1.0,    ,Riscaldamento,Componenti termici,Flessibile per Gas,FG3000NEW,FLEX GAS FF Mt.3.00 GIALLO,12.77,-9.8124
127,2018-03-02,000093C,1.0,OAMZ,Ferramenta e Hobbistica,Utensileria,Chiave da Utensileria,ROT110900,CHIAVI PER PILETTE ROTHENBERGER,23.43,18.0
128,2018-03-02,000094C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Coprivaso,CWTESIT,COPRIVASO TESI B.CO TERMOINDURENTE,22.05,16.95
129,2018-03-02,000095C,1.0,OYTB,Riscaldamento,Canne Fumarie,Accessori Pellet,ALATS5110,TUBO SMALTATO MT.0 5 110 B.CO,4.84,3.3768
130,2018-03-02,000096C,2.0,OAMZ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,ICOM100,IDROSFERA LT.100 C/MEM.VERN.VRT OMO,230.82,147.84
131,2018-03-02,000097C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,460501,CASSETTA SCARICO  GEMMA  C/TUBO,15.25,9.7636
132,2018-03-02,000098C,1.0,OAMZ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY692145,P.SALVIETTE CM.45 COLORADO,19.9,15.3
133,2018-03-02,000098C,1.0,OAMZ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY692160,P.SALVIETTE CM.60 COLORADO,22.72,14.5517
134,2018-03-05,000099C,2.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Distanziatore per Vasca,DIST10,DISTANZIATORE ECC. 1/2x3/4 CM.10 PB,11.42,10.3596
135,2018-03-05,000100C,6.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto Sottolavabo,CURVETTE,CURVETTA SOTTOLAVABO STAMPATA 45 ,15.96,14.472
136,2018-03-05,000101C,1.0,OAMZ,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY692160,P.SALVIETTE CM.60 COLORADO,22.72,17.46
137,2018-03-05,000102C,4.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,BO9374FM54B0,MAGIC ATT. 11/4 CURVO+MAN. D.32/40,8.6,7.79
138,2018-03-05,000103C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Valvola Automatica,LIA151001,VALV.AUTOMAT. ANTIGORGOGLIO 32/40,19.95,15.34
139,2018-03-05,000104C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Accessori Sanitari,BORC28,BORCHIA CROM. X TR/PIENO 28,0.26,0.195
140,2018-03-05,000105C,2.0,OAMZ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Dosatore e Accessori,BICCHIERE,VASO DOSAMAX BLU S/ORING,3.84,2.94
141,2018-03-05,000106C,1.0,OAMZ,Riscaldamento,Caldaie,Accessori Sistemi Fumari,C45C60/100,CURVA 45  CASSIALE M/F DN60/100 PAC,12.0,9.5625
142,2018-03-05,000010F,1.0,    ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,F09CGZ0R10,RUBINETTO GALLEGGIANTE REGOL. COES,16.51,14.98
143,2018-03-05,000011F,1.0,    ,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,ICOM100,IDROSFERA LT.100 C/MEM.VERN.VRT OMO,115.41,88.704
144,2018-03-06,000107C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CR1030S2,CASSETTA PLUS 2,15.86,12.19
